Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S21,38.7491547,-120.5812840,true,LTE-ENodeB-1019,Outdoor,45,2,AW3161,0,2,1,45,6,0,50
S3,38.9176458,-120.6864569,true,LTE-ENodeB-1002,Outdoor,45,2,AW3161,80,2,1,45,6,0,50
S30,38.5368437,-121.0072450,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,120,2,1,90,6,0,50
S30 (copy 1),38.8215210,-120.8832550,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,120,2,1,45,6,0,50
S30 (copy),38.8867571,-120.9910583,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,120,2,1,45,6,0,50
S30 (copy),38.6844378,-120.9079742,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,65,2,1,45,6,0,50
S30 (copy),38.7647919,-120.9093475,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,120,2,1,45,6,0,50
S4,38.9082630,-120.8479114,true,LTE-ENodeB-1003,Outdoor,45,2,AW3161,0,2,1,45,6,0,50
S45,38.6677081,-120.7506781,true,LTE-ENodeB-1020,Outdoor,45,2,AW3161,120,2,1,90,6,0,50
S45,38.6677081,-120.7506781,true,New Device 2,Outdoor,45,2,AW3161,0,0,0,90,6,0,50
S52,38.6431542,-121.1071014,true,LTE-ENodeB-1005,Outdoor,45,2,AW3161,90,2,1,90,6,0,50
S52,38.6431542,-121.1071014,true,New Device 2,Outdoor,45,2,AW3161,24,0,0,50,6,0,50
S53,38.5368437,-121.0072450,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,240,2,1,45,6,0,50
S55,38.7621644,-120.6675446,true,LTE-ENodeB-1008,Outdoor,45,2,AW3161,240,2,1,45,6,0,50
S67,38.7491547,-120.5812840,true,LTE-ENodeB-1019,Outdoor,45,2,AW3161,240,2,1,45,6,0,50
S7,38.5368437,-121.0072450,true,LTE-ENodeB-1006,Outdoor,45,2,AW3161,0,2,1,45,6,0,50
S9,38.7621644,-120.6675446,true,LTE-ENodeB-1008,Outdoor,45,2,AW3161,67,2,1,45,6,0,50
